,iters,returns
0,0,1584.0
1,1000,1300.0
2,2000,826.0
3,3000,838.0
4,4000,1442.0
5,5000,893.0
6,6000,762.0
7,7000,1185.0
8,8000,873.0
9,9000,743.0
10,10000,1121.0
11,11000,1155.0
12,12000,1000.0
13,13000,1044.0
14,14000,669.0
15,15000,856.0
16,16000,835.0
17,17000,848.0
18,18000,1046.0
19,19000,1157.0
20,20000,699.0
21,21000,1035.0
22,22000,1292.0
23,23000,1110.0
24,24000,962.0
25,25000,1193.0
26,26000,962.0
27,27000,1214.0
28,28000,1120.0
29,29000,1081.0
30,30000,1171.0
31,31000,906.0
32,32000,693.0
33,33000,953.0
34,34000,1172.0
35,35000,1078.0
36,36000,1150.0
37,37000,839.0
38,38000,985.0
39,39000,1088.0
40,40000,1190.0
41,41000,807.0
42,42000,793.0
43,43000,1251.0
44,44000,799.0
45,45000,1124.0
46,46000,1269.0
47,47000,1231.0
48,48000,925.0
49,49000,742.0
50,50000,969.0
51,51000,1060.0
52,52000,1126.0
53,53000,1485.0
54,54000,1013.0
55,55000,1285.0
56,56000,1473.0
57,57000,925.0
58,58000,1120.0
59,59000,640.0
60,60000,864.0
61,61000,623.0
62,62000,1153.0
63,63000,986.0
64,64000,964.0
65,65000,1149.0
66,66000,918.0
67,67000,730.0
68,68000,802.0
69,69000,847.0
70,70000,836.0
71,71000,976.0
72,72000,927.0
73,73000,952.0
74,74000,734.0
75,75000,1170.0
76,76000,835.0
77,77000,776.0
78,78000,527.0
79,79000,1080.0
80,80000,849.0
81,81000,816.0
82,82000,783.0
83,83000,889.0
84,84000,1048.0
85,85000,773.0
86,86000,829.0
87,87000,941.0
88,88000,735.0
89,89000,779.0
90,90000,881.0
91,91000,756.0
92,92000,896.0
93,93000,760.0
94,94000,722.0
95,95000,1107.0
96,96000,763.0
97,97000,467.0
98,98000,980.0
99,99000,781.0
100,100000,859.0
101,101000,821.0
102,102000,775.0
103,103000,594.0
104,104000,547.0
105,105000,1177.0
106,106000,673.0
107,107000,687.0
108,108000,471.0
109,109000,499.0
110,110000,660.0
111,111000,781.0
112,112000,1622.0
113,113000,1201.0
114,114000,912.0
115,115000,874.0
116,116000,903.0
117,117000,956.0
118,118000,616.0
119,119000,542.0
120,120000,929.0
121,121000,1740.0
122,122000,626.0
123,123000,838.0
124,124000,1497.0
125,125000,928.0
126,126000,708.0
127,127000,847.0
128,128000,1047.0
129,129000,1385.0
130,130000,927.0
131,131000,1242.0
132,132000,1058.0
133,133000,671.0
134,134000,1409.0
135,135000,838.0
136,136000,1076.0
137,137000,1147.0
138,138000,1271.0
139,139000,988.0
140,140000,1041.0
141,141000,565.0
142,142000,1091.0
143,143000,748.0
144,144000,974.0
145,145000,1160.0
146,146000,924.0
147,147000,623.0
148,148000,664.0
149,149000,475.0
150,150000,459.0
151,151000,838.0
152,152000,868.0
153,153000,796.0
154,154000,1003.0
155,155000,633.0
156,156000,671.0
157,157000,682.0
158,158000,891.0
159,159000,675.0
160,160000,1428.0
161,161000,1158.0
162,162000,730.0
163,163000,740.0
164,164000,1007.0
165,165000,1065.0
166,166000,976.0
167,167000,501.0
168,168000,872.0
169,169000,806.0
170,170000,814.0
171,171000,1497.0
172,172000,1280.0
173,173000,620.0
174,174000,748.0
175,175000,943.0
176,176000,711.0
177,177000,1213.0
178,178000,864.0
179,179000,738.0
180,180000,1099.0
181,181000,721.0
182,182000,1445.0
183,183000,796.0
184,184000,1628.0
185,185000,831.0
186,186000,775.0
187,187000,887.0
188,188000,1020.0
189,189000,1039.0
190,190000,966.0
191,191000,1810.0
192,192000,984.0
193,193000,1635.0
194,194000,567.0
195,195000,1091.0
196,196000,1217.0
197,197000,1367.0
198,198000,701.0
199,199000,1023.0
200,200000,1651.0
