,iters,returns
0,0,70.0
1,1000,483.0
2,2000,665.0
3,3000,747.0
4,4000,875.0
5,5000,863.0
6,6000,769.0
7,7000,579.0
8,8000,1009.0
9,9000,848.0
10,10000,1023.0
11,11000,961.0
12,12000,822.0
13,13000,809.0
14,14000,815.0
15,15000,1232.0
16,16000,1062.0
17,17000,1150.0
18,18000,1225.0
19,19000,929.0
20,20000,840.0
21,21000,1254.0
22,22000,1216.0
23,23000,927.0
24,24000,817.0
25,25000,1248.0
26,26000,1057.0
27,27000,907.0
28,28000,886.0
29,29000,1500.0
30,30000,1060.0
31,31000,1103.0
32,32000,1251.0
33,33000,1021.0
34,34000,899.0
35,35000,950.0
36,36000,1403.0
37,37000,1344.0
38,38000,1195.0
39,39000,1227.0
40,40000,1301.0
41,41000,1026.0
42,42000,1198.0
43,43000,1288.0
44,44000,1112.0
45,45000,1534.0
46,46000,917.0
47,47000,1297.0
48,48000,996.0
49,49000,1396.0
50,50000,1358.0
51,51000,1528.0
52,52000,1073.0
53,53000,1287.0
54,54000,1515.0
55,55000,1061.0
56,56000,942.0
57,57000,1135.0
58,58000,841.0
59,59000,933.0
60,60000,1160.0
61,61000,1210.0
62,62000,993.0
63,63000,954.0
64,64000,811.0
65,65000,872.0
66,66000,944.0
67,67000,709.0
68,68000,957.0
69,69000,1249.0
70,70000,1189.0
71,71000,1112.0
72,72000,1366.0
73,73000,1257.0
74,74000,1068.0
75,75000,1083.0
76,76000,1294.0
77,77000,1397.0
78,78000,1110.0
79,79000,1158.0
80,80000,1127.0
81,81000,1550.0
82,82000,1075.0
83,83000,1703.0
84,84000,1141.0
85,85000,1267.0
86,86000,1156.0
87,87000,1255.0
88,88000,1394.0
89,89000,1068.0
90,90000,1530.0
91,91000,1266.0
92,92000,1186.0
93,93000,1378.0
94,94000,1170.0
95,95000,1209.0
96,96000,970.0
97,97000,1301.0
98,98000,1265.0
99,99000,1185.0
100,100000,1081.0
101,101000,1625.0
102,102000,1436.0
103,103000,1471.0
104,104000,1184.0
105,105000,1345.0
106,106000,1453.0
107,107000,1219.0
108,108000,2038.0
109,109000,1055.0
110,110000,1400.0
111,111000,1206.0
112,112000,695.0
113,113000,1224.0
114,114000,1206.0
115,115000,1099.0
116,116000,1177.0
117,117000,1078.0
118,118000,702.0
119,119000,867.0
120,120000,1345.0
121,121000,934.0
122,122000,1303.0
123,123000,1431.0
124,124000,1049.0
125,125000,842.0
126,126000,1097.0
127,127000,1044.0
128,128000,818.0
129,129000,745.0
130,130000,1281.0
131,131000,1445.0
132,132000,1299.0
133,133000,1166.0
134,134000,1046.0
135,135000,1248.0
136,136000,1352.0
137,137000,1202.0
138,138000,771.0
139,139000,1347.0
140,140000,956.0
141,141000,1265.0
142,142000,1131.0
143,143000,989.0
144,144000,1398.0
145,145000,1719.0
146,146000,1376.0
147,147000,1501.0
148,148000,1300.0
149,149000,897.0
150,150000,1024.0
151,151000,1364.0
152,152000,1450.0
153,153000,1161.0
154,154000,1214.0
155,155000,1212.0
156,156000,958.0
157,157000,929.0
158,158000,1090.0
159,159000,1177.0
160,160000,1592.0
161,161000,1090.0
162,162000,1106.0
163,163000,1196.0
164,164000,1364.0
165,165000,1168.0
166,166000,1347.0
167,167000,1225.0
168,168000,1435.0
169,169000,1302.0
170,170000,1432.0
171,171000,1345.0
172,172000,1141.0
173,173000,1084.0
174,174000,860.0
175,175000,1298.0
176,176000,1109.0
177,177000,1227.0
178,178000,962.0
179,179000,883.0
180,180000,796.0
181,181000,1120.0
182,182000,1303.0
183,183000,949.0
184,184000,1552.0
185,185000,1102.0
186,186000,1096.0
187,187000,1018.0
188,188000,651.0
189,189000,969.0
190,190000,1225.0
191,191000,1809.0
192,192000,1496.0
193,193000,1420.0
194,194000,1437.0
195,195000,851.0
196,196000,1381.0
197,197000,1551.0
198,198000,1545.0
199,199000,1515.0
200,200000,1016.0
