,iters,returns
0,0,739.0
1,1000,426.0
2,2000,459.0
3,3000,509.0
4,4000,703.0
5,5000,803.0
6,6000,758.0
7,7000,804.0
8,8000,876.0
9,9000,660.0
10,10000,670.0
11,11000,725.0
12,12000,771.0
13,13000,816.0
14,14000,886.0
15,15000,805.0
16,16000,610.0
17,17000,887.0
18,18000,867.0
19,19000,1093.0
20,20000,923.0
21,21000,968.0
22,22000,1083.0
23,23000,903.0
24,24000,1289.0
25,25000,919.0
26,26000,989.0
27,27000,1015.0
28,28000,889.0
29,29000,802.0
30,30000,819.0
31,31000,1213.0
32,32000,1071.0
33,33000,906.0
34,34000,1121.0
35,35000,938.0
36,36000,930.0
37,37000,965.0
38,38000,1174.0
39,39000,958.0
40,40000,1194.0
41,41000,1010.0
42,42000,1322.0
43,43000,831.0
44,44000,1039.0
45,45000,1215.0
46,46000,1293.0
47,47000,543.0
48,48000,893.0
49,49000,878.0
50,50000,1103.0
51,51000,1335.0
52,52000,1077.0
53,53000,1374.0
54,54000,1008.0
55,55000,1054.0
56,56000,1096.0
57,57000,948.0
58,58000,1133.0
59,59000,1241.0
60,60000,964.0
61,61000,1022.0
62,62000,1200.0
63,63000,1089.0
64,64000,1320.0
65,65000,1059.0
66,66000,1033.0
67,67000,1043.0
68,68000,850.0
69,69000,1077.0
70,70000,1074.0
71,71000,1161.0
72,72000,919.0
73,73000,1132.0
74,74000,851.0
75,75000,778.0
76,76000,818.0
77,77000,1120.0
78,78000,1228.0
79,79000,1398.0
80,80000,962.0
81,81000,1553.0
82,82000,1095.0
83,83000,1030.0
84,84000,954.0
85,85000,1172.0
86,86000,1346.0
87,87000,1212.0
88,88000,1197.0
89,89000,1036.0
90,90000,1107.0
91,91000,1626.0
92,92000,913.0
93,93000,985.0
94,94000,1314.0
95,95000,1077.0
96,96000,918.0
97,97000,929.0
98,98000,1384.0
99,99000,907.0
100,100000,1006.0
101,101000,867.0
102,102000,1066.0
103,103000,922.0
104,104000,1006.0
105,105000,989.0
106,106000,887.0
107,107000,777.0
108,108000,691.0
109,109000,1183.0
110,110000,1537.0
111,111000,871.0
112,112000,722.0
113,113000,1079.0
114,114000,860.0
115,115000,1060.0
116,116000,952.0
117,117000,812.0
118,118000,882.0
119,119000,929.0
120,120000,752.0
121,121000,1181.0
122,122000,995.0
123,123000,1058.0
124,124000,1040.0
125,125000,929.0
126,126000,1030.0
127,127000,665.0
128,128000,907.0
129,129000,1204.0
130,130000,929.0
131,131000,991.0
132,132000,710.0
133,133000,1218.0
134,134000,1368.0
135,135000,1084.0
136,136000,940.0
137,137000,1046.0
138,138000,920.0
139,139000,1028.0
140,140000,1015.0
141,141000,1029.0
142,142000,670.0
143,143000,1495.0
144,144000,980.0
145,145000,1182.0
146,146000,1018.0
147,147000,1165.0
148,148000,1171.0
149,149000,1046.0
150,150000,851.0
151,151000,1191.0
152,152000,807.0
153,153000,729.0
154,154000,986.0
155,155000,844.0
156,156000,854.0
157,157000,1170.0
158,158000,1201.0
159,159000,714.0
160,160000,1072.0
161,161000,1232.0
162,162000,1252.0
163,163000,1145.0
164,164000,1135.0
165,165000,1122.0
166,166000,1350.0
167,167000,850.0
168,168000,1389.0
169,169000,738.0
170,170000,1601.0
171,171000,967.0
172,172000,792.0
173,173000,950.0
174,174000,876.0
175,175000,1137.0
176,176000,1366.0
177,177000,1527.0
178,178000,1009.0
179,179000,671.0
180,180000,1584.0
181,181000,839.0
182,182000,1083.0
183,183000,921.0
184,184000,854.0
185,185000,837.0
186,186000,1408.0
187,187000,1765.0
188,188000,1162.0
189,189000,924.0
190,190000,1120.0
191,191000,1332.0
192,192000,1017.0
193,193000,1165.0
194,194000,776.0
195,195000,1127.0
196,196000,1218.0
197,197000,1098.0
198,198000,1206.0
199,199000,1400.0
200,200000,1294.0
